название,датасет,время работы,average_in_cluster,average_clusters,длина датасета
Hierarchy_,LIVE,3.9196062088012695,4.137752744901452,5.8309119361538135,300
Hierarchy,LIVE,0.0023505687713623047,4.137752744901452,6.1173469184046985,300
EM_,LIVE,1.1619772911071777,1.8159943428793657,3.3385736213678148,300
GMM,LIVE,0.012253522872924805,3.9843944863720213,4.412179516238841,300
DBSCAN_,LIVE,0.4495720863342285,3.9687480477672037,0.0,300
DBSCAN,LIVE,0.005490779876708984,3.9687480477672037,0.0,300
Hierarchy_,Beverage_r,0.03976559638977051,1.2411892604985673,1.8804109385634646,34
Hierarchy,Beverage_r,0.0010204315185546875,1.1413385900491428,1.6473611796004899,34
EM_,Beverage_r,0.025035858154296875,1.3633183092695902,1.7946738763982741,34
GMM,Beverage_r,0.006549358367919922,1.09608450739806,1.671522564244211,34
DBSCAN_,Beverage_r,0.008083343505859375,0.9166237102687397,1.8328609414360557,34
DBSCAN,Beverage_r,0.002187490463256836,0.9166237102687397,1.8328609414360557,34
